game_name,release_year,price,recommendations_count,reviews,rating,median_playtime_minutes,median_playtime_hours,peak_players,steam_genres,player_type,steam_categories,steamspy_genres,supported_platforms,achievements_count,follows
PUBG: BATTLEGROUNDS,2017,Free,1758578,2698699,60.13%,5803,97,3257248,"Action, Adventure, Massively Multiplayer, Free To Play",Multi-player,"PvP, Online PvP, Custom Volume Controls, Stereo Sound, Surround Sound, Stats, Remote Play on Phone, Remote Play on Tablet","Survival, Shooter, Battle Royale, Multiplayer, FPS",windows,37,3452396
Black Myth: Wukong,2024,59.99,870954,1197735,95.86%,2864,48,2415714,"Action, Adventure, RPG",Single-player,"Steam Achievements, Full controller support, Steam Trading Cards, Playable without Timed Input, Stereo Sound, Surround Sound, Steam Cloud, Family Sharing","Mythology, Action RPG, Action, Souls-like, RPG",windows,81,1443888
Palworld,2024,29.99,353117,418929,93.34%,2333,39,2101867,"Action, Adventure, Indie, RPG, Early Access",Single&Multi-player,"Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing","Open World, Survival, Creature Collector, Multiplayer, Open World Survival Craft",windows,57,619625
Counter-Strike 2,2012,Free,5031947,9528336,85.89%,6370,106,1862531,"Action, Free To Play",Multi-player,"Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, In-App Purchases, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Surround Sound, Valve Anti-Cheat enabled, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Steam Timeline","FPS, Shooter, Multiplayer, Competitive, Action","windows, linux",1,4765607
Monster Hunter Wilds,2025,38.49,192133,316091,48.20%,3352,56,1384608,"Action, Adventure, RPG",Single&Multi-player,"Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Keyboard Only Option, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, HDR available, Family Sharing","Hunting, Action, Multiplayer, Online Co-Op, Co-op",windows,50,521421
Dota 2,2013,Free,14372,2694424,80.57%,1205,20,1295114,"Action, Strategy, Free To Play",Multi-player,"Co-op, Steam Trading Cards, Steam Workshop, SteamVR Collectibles, In-App Purchases, Camera Comfort, Color Alternatives, Custom Volume Controls, Valve Anti-Cheat enabled, Steam Timeline","Free to Play, MOBA, Multiplayer, Strategy, e-sports","windows, mac, linux",0,2491599
ELDEN RING,2022,59.99,812607,1125787,92.37%,5722,95,953426,"Action, RPG",Single&Multi-player,"PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Camera Comfort, Custom Volume Controls, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Steam Cloud, Family Sharing","Souls-like, Open World, Dark Fantasy, RPG, Difficult",windows,42,1145777
Banana,2024,Free,0,95600,80.85%,394,7,917272,"Adventure, Casual, Indie, Simulation, Strategy, Free To Play",Single-player,"Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Workshop, In-App Purchases, Steam Cloud, Stats, Steam Leaderboards",,"windows, linux",76,16585
Baldur's Gate 3,2023,59.99,734546,834041,96.04%,5103,85,875343,"Adventure, RPG, Strategy",Single&Multi-player,"Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing","RPG, Character Customization, Choices Matter, Story Rich, Turn-Based Combat","windows, mac",54,995228
Battlefield™ 6,2025,69.99,268072,333690,65.41%,1309,22,747440,Action,Single&Multi-player,"PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases, Camera Comfort, Chat Speech-to-text, Chat Text-to-speech, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Playable without Timed Input, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, HDR available",,windows,53,400795
