estimated_owners,rating,game_name,developer,publisher
100000000,85.89,Counter-Strike 2,Valve,Valve
50000000,87.11,Grand Theft Auto V Legacy,Rockstar North,Rockstar Games
100000000,60.13,PUBG: BATTLEGROUNDS,PUBG Corporation,KRAFTON Inc.
20000000,82.06,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft
20000000,96.74,Terraria,Re-Logic,Re-Logic
20000000,86.48,Rust,Facepunch Studios,Facepunch Studios
20000000,96.17,Garry's Mod,Facepunch Studios,Valve
50000000,95.86,Black Myth: Wukong,Game Science,Game Science
20000000,97.71,Stardew Valley,ConcernedApe,ConcernedApe
20000000,92.37,ELDEN RING,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment"
20000000,95.41,The Witcher 3: Wild Hunt,CD PROJEKT RED,CD PROJEKT RED
10000000,91.60,Red Dead Redemption 2,Rockstar Games,Rockstar Games
50000000,96.79,Left 4 Dead 2,Valve,Valve
10000000,96.56,Euro Truck Simulator 2,SCS Software,SCS Software
20000000,96.04,Baldur's Gate 3,Larian Studios,Larian Studios
10000000,94.87,Phasmophobia,Kinetic Games,Kinetic Games
20000000,91.22,Among Us,Innersloth,Innersloth
20000000,82.76,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA"
20000000,94.74,The Forest,Endnight Games Ltd,Endnight Games Ltd
5000000,92.28,Geometry Dash,RobTop Games,RobTop Games
5000000,96.03,Hollow Knight,Team Cherry,Team Cherry
10000000,93.26,Valheim,Iron Gate AB,Coffee Stain Publishing
20000000,88.61,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Entertainment
10000000,86.40,Rocket League®,Psyonix LLC,Psyonix LLC
10000000,96.13,Lethal Company,Zeekerss,Zeekerss
5000000,97.74,Portal 2,Valve,Valve
10000000,77.05,DayZ,Bohemia Interactive,Bohemia Interactive
5000000,88.37,Hollow Knight: Silksong,Team Cherry,Team Cherry
10000000,94.20,Don't Starve Together,Klei Entertainment,Klei Entertainment
5000000,96.44,BeamNG.drive,BeamNG,BeamNG
