game_name,release_year,price$,recommendations_count,reviews,rating%,median_playtime_minutes,peak_players,achievements_count,follows
PUBG: BATTLEGROUNDS,2017,Free,1758578,2698699,60.13,5803,3257248,37,3452396
Black Myth: Wukong,2024,59.99,870954,1197735,95.86,2864,2415714,81,1443888
Palworld,2024,29.99,353117,418929,93.34,2333,2101867,57,619625
Counter-Strike 2,2012,Free,5031947,9528336,85.89,6370,1862531,1,4765607
Monster Hunter Wilds,2025,38.49,192133,316091,48.20,3352,1384608,50,521421
Dota 2,2013,Free,14372,2694424,80.57,1205,1295114,0,2491599
ELDEN RING,2022,59.99,812607,1125787,92.37,5722,953426,42,1145777
Banana,2024,Free,0,95600,80.85,394,917272,76,16585
Baldur's Gate 3,2023,59.99,734546,834041,96.04,5103,875343,54,995228
Battlefield™ 6,2025,69.99,268072,333690,65.41,1309,747440,53,400795
Goose Goose Duck,2021,Free,0,79580,85.32,260,702845,38,130002
Marvel Rivals,2024,Free,0,380605,76.33,445,644269,49,244622
Apex Legends™,2020,Free,1575,1041472,67.30,844,624473,12,593253
Hollow Knight: Silksong,2025,19.99,368571,402283,88.37,2610,587150,52,594367
Path of Exile 2,2024,29.99,153086,207110,72.40,3209,578569,0,376255
Slay the Spire 2,2026,24.99,103495,109475,80.10,1928,574638,0,168489
Valheim,2021,19.99,449894,530741,93.26,1824,502387,0,514179
Terraria,2011,9.99,1207980,1515309,96.74,1998,489886,137,938088
Capcom Arcade Stadium,2021,Free,384,4662,54.60,184,488791,20,43346
ARC Raiders,2025,39.99,276091,381272,85.10,2437,481966,50,440993
Fallout 4,2015,19.99,285753,423104,80.52,1986,472962,84,931317
Life is Strange 2,2018,Free,22166,39912,85.31,201,468717,46,85560
Capcom Arcade 2nd Stadium,2022,Free,194,1191,66.10,352,463928,19,10957
Among Us,2018,2.99,639595,726653,91.22,659,447476,33,340977
Sons Of The Forest,2024,29.99,268180,301496,87.44,893,414257,32,623616
POSTAL,1997,Free,2503,13486,89.15,199,412063,27,8063
NARAKA: BLADEPOINT,2021,Free,197605,339351,68.81,468,385770,40,581838
Grand Theft Auto V Legacy,2015,—,1874272,2054117,87.11,5536,364548,77,3449618
HITMAN™ 2,2018,—,31375,74899,89.40,241,361001,146,288583
Kathy Rain,2016,9.99,1795,3930,88.53,271,348015,20,8367
Resident Evil Requiem,2026,69.99,93732,160267,94.93,1116,344214,49,237020
Counter-Strike,2000,9.99,167386,258869,96.30,182,319586,0,227644
Destiny 2,2019,Free,133857,645453,76.84,472,316750,23,737652
ELDEN RING NIGHTREIGN,2025,39.99,123486,180172,81.11,2563,313593,37,219914
Escape From Duckov,2025,17.99,81363,102065,83.36,859,301322,55,125976
Crimson Desert,2026,69.99,86438,124868,82.61,1447,276261,34,253156
Kholat,2015,19.99,2013,6861,65.34,304,272019,20,33498
R.E.P.O.,2025,9.99,300841,374335,95.21,619,271571,0,303408
The First Descendant,2024,Free,0,110269,57.08,268,264860,24,263181
Last Epoch,2024,34.99,105973,117912,75.76,2719,264708,0,227151
Yu-Gi-Oh! Master Duel,2022,Free,0,97643,71.56,694,262689,11,77349
Rust,2018,39.99,1125261,1348572,86.48,2907,262284,102,1288146
Kingdom Come: Deliverance II,,59.99,130876,177842,92.94,3243,256206,83,324503
Team Fortress 2,2007,Free,46644,1224756,90.26,4205,253997,520,1436910
Where Winds Meet,2025,Free,0,107022,85.93,158,251008,45,163732
ARK: Survival Evolved,2017,9.89,575712,764270,82.76,855,248405,32,1651503
Mount & Blade II: Bannerlord,2022,49.99,222740,287567,86.87,4166,248216,50,898183
PAYDAY 2,2013,9.99,442989,671902,88.61,516,247709,1328,8221976
THE FINALS,2023,Free,0,264610,77.67,254,242619,50,359062
Lethal Company,2023,9.99,407245,505135,96.13,698,240817,0,322997
Stardew Valley,2016,14.99,855922,996048,97.71,1652,236614,49,1057141
Once Human,2024,Free,0,168295,76.67,240,231668,0,285897
Path of Exile,2013,Free,1032,246412,88.08,500,229337,127,275312
"Warhammer 40,000: Space Marine 2",,19.79,152673,205946,82.65,838,225690,50,347756
Dispatch,2025,29.99,161475,170807,96.42,578,220060,36,217415
Braveland,2014,0.99,1183,3197,78.62,258,218169,21,4411
Skillshot City,2017,Free,114,2668,80.56,315,214143,40,9131
No Man's Sky,2016,23.99,303791,403347,84.04,1116,212613,27,858120
Content Warning,2024,7.99,67034,156893,92.91,192,204439,48,104855
Dota Underlords,2019,Free,0,90969,81.19,364,202334,0,68560
Tom Clancy's Rainbow Six Siege,2015,Free,1237530,1501651,82.06,2354,201933,48,1293421
Bongo Cat,2025,Free,0,96960,95.15,1852,194508,28,876860
Stellar Blade™,2025,59.99,55561,85048,92.64,1667,192078,45,220594
A Story About My Uncle,2014,14.99,12125,29121,89.67,242,190590,15,32575
Warframe,2013,Free,2880,664114,86.65,528,189837,193,905260
Football Manager 2020,2019,—,17111,31711,87.56,14349,189464,97,56184
Dune: Awakening,2025,49.99,63916,74710,69.63,3735,189333,72,267945
Satisfactory,2024,39.99,224549,266655,96.15,2318,186158,44,407316
鬼谷八荒 Tale of Immortal,2023,19.99,191358,226281,54.67,2332,184171,169,242944
Manor Lords,2024,39.99,72042,85894,83.44,641,173178,11,555133
PEAK,2025,4.95,252634,309878,93.81,437,170759,54,174679
Resident Evil 4,2023,15.99,159525,239572,96.12,1441,168191,46,303257
Total War: WARHAMMER III,2022,59.99,99168,141586,69.58,2931,166754,138,300287
Overwatch®,2023,Free,264,393152,29.81,405,165651,164,117304
DISTRAINT: Deluxe Edition,2015,0.69,7496,12704,90.63,256,165266,16,8526
The Tiny Bang Story,2011,4.99,3756,6583,84.60,308,164840,0,5870
Company of Heroes 2,2013,4.99,68218,112304,78.17,279,164688,452,166844
Left 4 Dead 2,2009,9.99,788871,1026595,96.79,510,162399,101,1282057
Halo: The Master Chief Collection,2019,39.99,233909,256497,91.10,804,161024,700,492983
Enshrouded,2024,29.99,87549,98670,85.09,1296,160405,52,375983
ARMORED CORE™ VI FIRES OF RUBICON™,2023,59.99,64943,82973,90.25,1051,156171,30,216384
Orwell: Keeping an Eye On You,2016,9.99,8751,15355,88.13,254,154375,27,40541
Z1 Battle Royale,2018,Free,143196,202783,55.68,225,151239,0,505140
V Rising,2024,34.99,107641,132439,87.84,1536,150645,49,300751
Murderous Pursuits,2018,9.99,374,2804,62.44,303,149224,145,10160
BROKE PROTOCOL,2024,Free,1620,3223,72.57,424,147854,0,4729
Rocket League®,2015,—,435134,585293,86.40,2617,147632,88,653517
Clair Obscur: Expedition 33,2025,49.99,171274,261862,94.42,1829,145063,55,303179
Crusader Kings II,2012,Free,30851,74806,88.57,267,141439,161,120776
Fortified,2016,14.99,217,1722,71.85,302,138627,23,6915
Farming Simulator 25,2024,23.99,33549,49995,85.09,3015,135970,45,125571
DELTARUNE,2025,24.99,90608,98280,96.92,1106,133930,0,186031
XCOM® 2,2016,19.99,78201,107263,83.46,1477,133022,88,292165
Mecha BREAK,2025,Free,0,28016,59.53,163,132816,61,222012
WUCHANG: Fallen Feathers,2025,41.99,43142,101831,55.09,1297,131518,40,175523
DARK SOULS™ III,2016,59.99,273796,432657,93.45,2636,129975,43,643481
The Descendant,2016,14.99,589,7162,85.69,259,128847,50,6123
Hacknet,2015,9.99,16646,25841,91.51,263,127640,11,79796
Wolcen: Lords of Mayhem,2020,29.99,61736,67876,55.70,1252,127542,64,180641
Human Fall Flat,2016,19.99,172126,223509,93.53,359,127517,151,579911
War Thunder,2013,Free,1965,862187,64.84,474,125430,91,568270
7 Days to Die,2024,44.99,271506,397460,86.37,1615,125419,43,531134
Limbus Company,2023,Free,0,101257,86.42,839,124972,0,59491
Borderlands 2,2012,4.99,214434,317674,87.64,895,124678,75,317540
DRAGON BALL: Sparking! ZERO,2024,69.99,48359,69848,86.59,1007,122554,50,191194
Prismata,2018,Free,116,1209,77.39,433,122553,114,3956
Insurgency,2014,14.99,86427,124768,90.46,250,121575,100,262368
Shadowverse: Worlds Beyond,2025,Free,0,23630,29.91,1461,120488,27,14528
Eador. Masters of the Broken World,2013,19.99,1644,2795,66.49,272,118780,56,6832
Factorio,2020,35.00,189634,232312,96.02,3107,118674,88,407977
Total War: ROME II - Emperor Edition,2013,59.99,56958,92386,82.84,2329,118240,188,162862
Megabonk,2025,9.99,94815,100493,93.37,973,117336,139,72973
Battlefield™ V,2020,49.99,231294,264051,70.18,542,116104,21,320109
Don't Starve Together,2016,5.09,364656,528771,94.20,523,115925,0,747803
Mewgenics,2026,29.99,41275,43907,90.43,989,115428,281,94727
Granblue Fantasy: Relink,2024,39.99,37819,51250,88.50,1916,114054,54,153004
FragPunk,2025,Free,1623,48721,73.39,173,113946,0,101787
Liar's Bar,2024,6.99,47533,54961,88.43,164,113798,0,137092
Amarillo's Butt Slapper,2024,Free,0,5726,86.07,0,113068,7,4373
Total War: WARHAMMER,2016,59.99,32504,52907,76.98,1061,113019,185,322333
Hades II,2025,29.99,108322,116735,94.32,1628,112947,50,286555
Phasmophobia,2020,19.99,665877,816956,94.87,903,112717,54,447172
Unturned,2017,Free,7523,561427,90.30,338,112703,88,570369
EA SPORTS™ FIFA 23,2022,—,123933,150673,56.80,5925,110878,39,155610
REMNANT II®,2023,49.99,44823,66293,81.38,1141,110856,65,153610
EA SPORTS FC™ 25,2024,42.00,96020,104818,52.69,3963,110026,39,94164
Geometry Dash,2014,4.99,531802,573620,92.28,539,109993,547,174575
The Forest,2018,19.99,568122,667392,94.74,740,109397,45,798082
"Warhammer 40,000: Darktide",2022,39.99,102886,131219,70.40,1229,108395,36,214677
FIFA 22,2021,—,100616,120172,79.63,7042,108295,37,106393
Guns of Icarus Online,2012,4.99,8252,14675,87.65,265,107883,849,51575
EA SPORTS FC™ 24,2023,—,94246,111074,57.69,4582,107359,40,111978
Resident Evil Village,2021,9.99,99226,143738,94.31,908,106631,56,202403
Farming Simulator 22,2021,19.99,67540,90383,91.26,3459,105636,45,154056
Cities: Skylines II,2023,49.99,60103,86955,53.68,1647,104697,44,354286
Warhammer: Vermintide 2,2018,29.99,90007,145640,84.04,435,104323,26,253685
Party Animals,2023,19.99,54575,76703,78.72,347,104174,116,656630
The Witcher 3: Wild Hunt,2015,39.99,811913,876272,95.41,860,103329,78,1005589
Raft,2022,19.99,315784,369809,92.16,968,101096,104,655548
EA SPORTS FC™ 26,2025,22.50,52949,56621,45.83,2876,100753,43,69192
Counter-Strike: Source,2004,9.99,133240,190586,95.10,429,100056,147,443402
RV There Yet?,2025,7.99,63681,75291,89.29,277,100002,57,118275
Red Dead Redemption 2,2019,59.99,797763,865310,91.60,1662,99993,51,951248
Crusader Kings III,2020,49.99,92836,141704,88.68,2508,98872,188,315202
Portal 2,2011,9.99,382012,457538,97.74,482,98460,51,356293
ARK: Survival Ascended,2023,11.24,92774,102010,59.80,2162,98047,32,255994
Highguard,2026,—,0,40749,45.70,93,97249,32,19286
MIR4,2021,Free,0,14816,64.53,545,97173,0,23119
RimWorld,2018,34.99,201009,237123,96.74,3813,96040,0,632096
Hollow Knight,2017,14.99,480532,536629,96.03,804,95655,63,451013
Chained Together,2024,4.99,51761,60498,88.63,246,94480,16,87279
Football Manager 2021,2020,—,14384,23872,91.42,12447,93865,98,49410
Divinity: Original Sin 2 - Definitive Edition,2017,44.99,176737,201658,94.55,2352,93701,97,500842
Hearts of Iron IV,2016,49.99,271753,374665,88.08,3372,93196,266,476357
Sins of a Solar Empire®: Rebellion,2012,19.99,10189,16257,90.85,421,93109,68,56681
REMATCH,2025,17.99,34995,46944,67.58,987,92841,37,111514
Far Cry® 5,2018,59.99,168848,184684,80.23,1377,92445,72,409352
METAL GEAR SOLID V: THE PHANTOM PAIN,2015,19.99,71511,106150,90.62,1189,91195,42,256093
Cats,2024,Free,0,4522,75.39,190,90669,2,1741
House Flipper,2018,24.99,90952,105451,92.69,452,90666,96,267295
Tomb Raider Game of the Year,2013,19.99,168355,263763,94.98,474,89538,50,206782
Football Manager 2024,2023,—,16636,27830,89.57,11011,89478,100,67669
ENDLESS™ Legend,2014,29.99,14332,18955,81.79,387,89190,139,145849
Football Manager 2022,2021,—,13795,21506,90.45,19291,88767,98,43057
Starbound,2016,14.99,120550,165443,90.98,1228,88709,51,262211
Nioh 3,2026,69.99,10392,17049,78.55,2190,88045,51,57575
F1 2015,2015,—,1286,7973,59.42,299,88029,45,10679
Umamusume: Pretty Derby,2025,Free,0,54608,92.19,666,87453,20,29692
inZOI,2025,39.99,27323,30000,75.30,407,87377,0,424302
BattleBit Remastered,2023,14.99,127353,146043,81.06,640,87323,0,207275
Need for Speed™ Heat,2020,69.99,122339,146833,83.15,383,86196,42,147025
VPet-Simulator,2023,Free,0,50607,96.45,0,85551,75,58625
Total War: WARHAMMER II,2017,59.99,87715,125147,91.04,3131,84920,152,401735
Football Manager 26,2025,35.99,18416,30866,33.26,3419,84909,44,61119
Digimon Story Time Stranger,2025,69.99,14413,20640,87.80,2058,84458,46,93192
Football Manager 2023,2022,—,13457,19795,87.85,15436,83715,100,51521
The Red Solstice,2015,0.99,878,2552,68.63,252,82980,73,21630
Nobody - The Turnaround,2022,—,8234,14285,59.21,961,82511,42,216419
Stories: The Path of Destinies,2016,14.99,1924,6574,85.56,303,81664,37,24109
Forza Horizon 5,2021,59.99,248174,268604,88.21,1282,81096,164,567244
GrandChase,2021,Free,0,25459,64.29,404,79883,0,75705
VRChat,2017,Free,148,260201,74.76,148,79593,0,232912
DARK SOULS™ II,2014,39.99,31964,45358,86.77,2448,79528,38,124196
DayZ,2018,49.99,378895,457807,77.05,2374,78937,13,696524
Little Nightmares,2017,19.99,50992,115172,93.41,94,78169,22,197745
PAYDAY 3,2023,29.99,47479,63404,44.68,813,77938,22,185245
